corp_code,bsns_year,rcept_no,status,n_fields_found,composite_current,composite_original,is_flagged_original,original_accounts_json,top_contributors_original
00159209,2025,20260323000234,정상,11,6.687270406482367,6.687270406482367,1,"{""revenue"": 518767621092.0, ""cogs"": 406086043270.0, ""operating_income"": 35452646024.0, ""sga"": 77228931798.0, ""interest_expense"": 134486001.0, ""net_income"": 85367742275.0, ""trade_receivables"": 17978824000.0, ""inventory"": null, ""total_assets"": 885545457188.0, ""total_liabilities"": 260579274324.0, ""total_equity"": 624966182864.0, ""operating_cf"": 29316127878.0}","[[""interest_coverage"", -18.466989842278338], [""total_accruals_ratio"", 0.8165065436140719], [""debt_ratio"", -0.778314833554692]]"
00164742,2021,20220316001052,정상,11,6.583039400034643,6.583039400034643,1,"{""revenue"": 117610626000000.0, ""cogs"": 95680131000000.0, ""operating_income"": 6678949000000.0, ""sga"": 15251546000000.0, ""interest_expense"": 548410000000.0, ""net_income"": null, ""trade_receivables"": 3147296000000.0, ""inventory"": 11645641000000.0, ""total_assets"": 233946415000000.0, ""total_liabilities"": 151330626000000.0, ""total_equity"": 82615789000000.0, ""operating_cf"": -1176416000000.0}","[[""receivables_turnover"", 14.825844165027245], [""interest_coverage"", 3.7625559218556845], [""gp_margin"", 1.1607181132209996]]"
00170877,2021,20220318001079,정상,12,7.532427387725778,7.532427387725778,1,"{""revenue"": 90344610305.0, ""cogs"": 75041648014.0, ""operating_income"": 11348953189.0, ""sga"": 3954009102.0, ""interest_expense"": 72034705.0, ""net_income"": 9529144075.0, ""trade_receivables"": 17507807553.0, ""inventory"": 16027486557.0, ""total_assets"": 94877084135.0, ""total_liabilities"": 15683480445.0, ""total_equity"": 79193603690.0, ""operating_cf"": 8788043714.0}","[[""interest_coverage"", 17.979388159016164], [""gp_margin"", -2.4847063772101268], [""sga_ratio"", -2.133187626951041]]"
00176914,2023,20240320001719,정상,12,10.558434312733997,10.172180341006921,1,"{""revenue"": 9855141797134.0, ""cogs"": 8625638689171.0, ""operating_income"": 639880017159.0, ""sga"": 589623090804.0, ""interest_expense"": 12028911435.0, ""net_income"": 490015745774.0, ""trade_receivables"": 61599936324.0, ""inventory"": 774992793.0, ""total_assets"": 53342459330150.0, ""total_liabilities"": 47791926295211.0, ""total_equity"": 5550533034939.0, ""operating_cf"": -2049758439316.0}","[[""inventory_turnover"", 21.389539868248075], [""debt_ratio"", 7.7022854432713865], [""receivables_turnover"", 1.4247157115013025]]"
00180865,2022,20230322001167,정상,12,5.125714423173505,5.052749922953063,1,"{""revenue"": 8348605577.0, ""cogs"": 6132235835.0, ""operating_income"": -6474345726.0, ""sga"": 8690715468.0, ""interest_expense"": 7985785953.0, ""net_income"": -15192557773.0, ""trade_receivables"": 10108423410.0, ""inventory"": 1601096982.0, ""total_assets"": 82927763581.0, ""total_liabilities"": 23066897644.0, ""total_equity"": 59860865937.0, ""operating_cf"": -11347175039.0}","[[""operating_margin"", -8.964067886106315], [""sga_ratio"", 3.5118414361136616], [""revenue_growth"", -2.682340446639211]]"
00180865,2023,20240320001267,정상,12,4.7972164414588905,4.92923284785921,1,"{""revenue"": 11308943767.0, ""cogs"": 9471902612.0, ""operating_income"": -13071378512.0, ""sga"": 14908419667.0, ""interest_expense"": 9664307503.0, ""net_income"": -32501586699.0, ""trade_receivables"": 6387522347.0, ""inventory"": 1012871674.0, ""total_assets"": 66082716379.0, ""total_liabilities"": 6333663136.0, ""total_equity"": 59749053243.0, ""operating_cf"": -7492402137.0}","[[""operating_margin"", -8.216334940665439], [""total_accruals_ratio"", -3.4917276684655905], [""sga_ratio"", 3.079635934446601]]"
00185046,2021,20220323000859,정상,12,9.862421535660669,9.862421535660669,1,"{""revenue"": 139748707149.0, ""cogs"": 94923568537.0, ""operating_income"": 1233965509.0, ""sga"": 43591173103.0, ""interest_expense"": 1514147017.0, ""net_income"": -8761771980.0, ""trade_receivables"": 101769505877.0, ""inventory"": 293924267.0, ""total_assets"": 321582530988.0, ""total_liabilities"": 222196775618.0, ""total_equity"": 99385755370.0, ""operating_cf"": 5685642463.0}","[[""inventory_turnover"", 26.530925639207112], [""debt_ratio"", 1.9305762657337107], [""receivables_turnover"", -1.125762702041185]]"
00186939,2025,20260323001285,정상,12,11.401809413604653,4.0198560674134365,0,"{""revenue"": 149021253222.0, ""cogs"": 169586828290.0, ""operating_income"": -31645095019.0, ""sga"": 11079519951.0, ""interest_expense"": 2913862083.0, ""net_income"": -18207454391.0, ""trade_receivables"": 1728977300.0, ""inventory"": 6629017190.0, ""total_assets"": 195070766176.0, ""total_liabilities"": 107120955829.0, ""total_equity"": 87949810347.0, ""operating_cf"": 19310447090.0}","[[""receivables_turnover"", -5.233548743119388], [""oi_cfo_gap_ratio"", -3.601093282146534], [""gp_margin"", -3.224926176974389]]"
00204642,2022,20230315001317,정상,12,7.962899290833541,7.962899290833541,1,"{""revenue"": 42483287221.0, ""cogs"": 30595549695.0, ""operating_income"": 4052343613.0, ""sga"": 7835393913.0, ""interest_expense"": 8406533.0, ""net_income"": 4927772175.0, ""trade_receivables"": 15953890237.0, ""inventory"": 0.0, ""total_assets"": 128738301479.0, ""total_liabilities"": 7146543184.0, ""total_equity"": 121591758295.0, ""operating_cf"": -2077605704.0}","[[""interest_coverage"", 22.150660642431255], [""revenue_growth"", -0.9994076242512121], [""oi_cfo_gap_ratio"", 0.7386296058181593]]"
00204642,2024,20250320000674,정상,11,11.057918736007478,10.939740822998523,1,"{""revenue"": 40284018896.0, ""cogs"": 33382663716.0, ""operating_income"": 1456314716.0, ""sga"": 5445040464.0, ""interest_expense"": 19116023.0, ""net_income"": 3802312247.0, ""trade_receivables"": 15442675024.0, ""inventory"": null, ""total_assets"": 135621536292.0, ""total_liabilities"": 7645164007.0, ""total_equity"": 127976372285.0, ""operating_cf"": 10600621174.0}","[[""interest_coverage"", -30.83899847567047], [""revenue_growth"", -1.435932169494146], [""oi_cfo_gap_ratio"", -0.5442918238309522]]"
